,PostalCode,Venue,Category,City,Latitude,Longitude
286,M1G,Korean Grill House,Korean Restaurant,Toronto,43.7708117291354,-79.21450208834013
287,M1G,Convenience Plus,Convenience Store,Toronto,43.771860484030945,-79.20936271456327
288,M1G,Leslie & Giles Insurance Limited,Insurance Office,Scarborough,43.7731162,-79.2195586
289,M4G,Local Leaside,Sports Bar,Toronto,43.71001166793114,-79.36351433524794
290,M4G,Mercedes-Benz Midtown,Auto Dealership,Toronto,43.71358733310499,-79.36156776119117
291,M4G,PetSmart,Pet Store,East York,43.7126819,-79.3626365
292,M4G,LCBO,Liquor Store,Toronto,43.710571304463954,-79.36028703241085
293,M4G,Kintako Japanese Restaurant,Sushi Restaurant,Toronto,43.71159659251094,-79.36396207124376
294,M4G,The Leaside Pub,Restaurant,Toronto,43.710428911854564,-79.36354706165021
295,M4G,Nando's flame-grilled chicken,Portuguese Restaurant,Toronto,43.71302087340598,-79.35998607557845
296,M4G,Starbucks,Coffee Shop,Toronto,43.71355316863905,-79.36483215979176
297,M4G,Shoeless Joes,Sports Bar,Toronto,43.7135032798817,-79.36541229739075
298,M4G,Mt Everest Restaurant,Indian Restaurant,East York,43.713265579296,-79.36652040161064
299,M4G,TD Canada Trust Branch and ATM,Bank,Toronto,43.711620471105384,-79.36354860663414
300,M4G,South St. Burger,Burger Joint,Toronto,43.71051026319384,-79.36158441272885
301,M4G,Pier 1 Imports,Furniture / Home Store,East York,43.7133394919619,-79.3643121421883
302,M4G,Subway,Sandwich Place,Toronto,43.710410108561625,-79.36185814836224
303,M4G,Golf Town,Sporting Goods Shop,Toronto,43.70940869587626,-79.3623167837894
304,M4G,Winners,Clothing Store,Toronto,43.7094205909056,-79.36093211174
305,M4G,Marshalls,Department Store,Toronto,43.7138435,-79.3591035
306,M4G,Sunset Grill,Breakfast Spot,Toronto,43.71008051140994,-79.36252937590784
307,M4G,The Great Canadian Bagel,Bagel Shop,Toronto,43.71327461980094,-79.36502672732136
308,M4G,Sport Chek,Sporting Goods Shop,Toronto,43.70985360457569,-79.36045518457757
309,M4G,Golden Tian,Spa,Toronto,43.7142,-79.365
310,M4G,Zip-Car,Rental Car Location,Toronto,43.714232,-79.36359
311,M4G,Starbucks,Coffee Shop,Toronto,43.71034154336832,-79.36094765905699
312,M4G,Select Sandwich,Restaurant,Toronto,43.714080841677884,-79.36023689117143
313,M4G,Best Buy,Electronics Store,Toronto,43.709255121223215,-79.36168044805527
